Year,Make,Model,Variant,Kilometers Driven,Fuel Type,Owner,Price,EMI
2016,Volkswagen,Ameo,COMFORTLINE 1.2L,"94,459 km",Petrol,2nd owner,₹4.05L,"EMI ₹7,918/m"
2020,Maruti,New,Wagon-R LXI CNG (O) 1.0,"63,314 km",CNG,1st owner,₹5.70L,"EMI ₹11,142/m"
2020,Hyundai,AURA,SX PLUS 1.2 AMT,"36,868 km",Petrol,1st owner,₹7.24L,"EMI ₹14,156/m"
2018,Hyundai,Elite,i20 ASTA 1.2 (O),"1,21,249 km",Petrol,1st owner,₹5.98L,"EMI ₹13,302/m"
2022,Tata,NEXON,XZA PLUS DIESEL,"25,552 km",Diesel,1st owner,₹11.36L,"EMI ₹21,623/m"
2022,Hyundai,VENUE,SX PLUS 1.0 TURBO DCT,"36,310 km",Petrol,2nd owner,₹10.34L,"EMI ₹19,681/m"
2017,Hyundai,Elite,i20 ASTA 1.2 DUAL TONE,"87,637 km",Petrol,1st owner,₹6.20L,"EMI ₹12,121/m"
2022,Maruti,IGNIS,DELTA 1.2,"11,898 km",Petrol,2nd owner,₹5.93L,"EMI ₹11,601/m"
2020,KIA,SONET,GTX PLUS 1.0 DCT,"51,894 km",Petrol,2nd owner,₹10.23L,"EMI ₹19,472/m"
2021,Hyundai,Verna,SX (O)1.5 VTVT,"32,407 km",Petrol,1st owner,₹11.68L,"EMI ₹22,232/m"
2017,Maruti,Baleno,ALPHA PETROL 1.2,"31,759 km",Petrol,1st owner,₹6.27L,"EMI ₹12,258/m"
2016,Hyundai,Elite,i20 ASTA 1.2,"56,710 km",Petrol,1st owner,₹6.01L,"EMI ₹11,750/m"
2023,Maruti,Dzire,VXI AMT,"15,833 km",Petrol,1st owner,₹7.78L,"EMI ₹15,210/m"
2013,Hyundai,Grand,i10 SPORTZ 1.1 CRDI,"1,12,381 km",Diesel,2nd owner,₹3.27L,"EMI ₹10,874/m"
2018,Maruti,Dzire,VXI,"71,505 km",Petrol,1st owner,₹5.89L,"EMI ₹11,515/m"
2017,Honda,City,1.5L I-VTEC V MT,"69,456 km",Petrol,1st owner,₹7.14L,"EMI ₹13,959/m"
2021,Hyundai,VENUE,SX 1.0 TURBO,"22,735 km",Petrol,1st owner,₹9.11L,"EMI ₹17,340/m"
2022,Renault,Kwid,RXT 1.0 AMT,"43,148 km",Petrol,1st owner,₹4.89L,"EMI ₹9,558/m"
2021,Tata,ALTROZ,XZ (O) I-TURBO PETROL,"28,919 km",Petrol,1st owner,₹7.79L,"EMI ₹15,230/m"
2021,Tata,PUNCH,CREATIVE 1.2 RTN DUAL TONE,"52,065 km",Petrol,1st owner,₹7.63L,"EMI ₹14,917/m"
2017,Hyundai,Elite,i20 SPORTZ 1.2,"66,871 km",Petrol,1st owner,₹5.97L,"EMI ₹11,663/m"
2021,Maruti,Baleno,ZETA CVT PETROL 1.2,"25,338 km",Petrol,2nd owner,₹7.14L,"EMI ₹13,956/m"
2020,MG,HECTOR,SHARP 1.5 DCT PETROL,"58,539 km",Petrol,1st owner,₹14.41L,"EMI ₹27,428/m"
2018,Maruti,Dzire,VDI AMT,"86,032 km",Diesel,1st owner,₹7.16L,"EMI ₹14,007/m"
2021,Maruti,Dzire,VXI,"97,907 km",Petrol,1st owner,₹6.75L,"EMI ₹13,205/m"
2022,Volkswagen,VIRTUS,HIGHLINE TSI 1.0 MT,"19,255 km",Petrol,1st owner,₹12.80L,"EMI ₹24,364/m"
2021,Renault,TRIBER,RXZ,"61,982 km",Petrol,2nd owner,₹6.08L,"EMI ₹11,887/m"
2018,Tata,Tiago,XZA PETROL,"41,120 km",Petrol,2nd owner,₹4.82L,"EMI ₹9,426/m"
2022,Maruti,XL6,ALPHA AT,"52,904 km",Petrol,1st owner,₹11.24L,"EMI ₹21,394/m"
2014,Hyundai,i10,SPORTZ 1.1,"42,520 km",Petrol,2nd owner,₹3.30L,"EMI ₹7,341/m"
2017,Hyundai,Verna,1.6 VTVT SX,"84,881 km",Petrol,1st owner,₹7.21L,"EMI ₹14,099/m"
2016,Maruti,Alto,K10 VXI,"66,186 km",Petrol,2nd owner,₹2.91L,"EMI ₹5,689/m"
2018,Hyundai,Grand,i10 SPORTZ (O) AT 1.2 KAPPA VTVT,"23,664 km",Petrol,1st owner,₹6.10L,"EMI ₹11,935/m"
2014,Maruti,Swift,Dzire VXI,"70,942 km",Petrol,2nd owner,₹4.24L,"EMI ₹9,432/m"
2021,Mahindra,XUV300,W8 (O) 1.2 PETROL,"15,802 km",Petrol,2nd owner,₹10.24L,"EMI ₹19,483/m"
2021,Tata,ALTROZ,XZ DIESEL,"59,445 km",Diesel,1st owner,₹7.48L,"EMI ₹14,624/m"
