Year,Make,Model,Variant,Kilometers Driven,Fuel Type,Owner,Price,EMI
2017,Maruti,Baleno,ZETA CVT PETROL 1.2,"1,12,062 km",Petrol,1st owner,₹5.82L,"EMI ₹12,951/m"
2023,Maruti,Grand,Vitara DELTA SMART HYBRID,"28,842 km",Petrol,1st owner,₹12.10L,"EMI ₹23,031/m"
2022,Maruti,Ertiga,VXI AT SHVS,"35,378 km",Petrol,1st owner,₹10.34L,"EMI ₹19,681/m"
2017,Ford,Ecosport,TITANIUM 1.5L DIESEL,"93,259 km",Diesel,1st owner,₹6.61L,"EMI ₹12,923/m"
2016,Maruti,Vitara,Brezza ZDI,"76,173 km",Diesel,1st owner,₹7.62L,"EMI ₹14,902/m"
2022,Mahindra,XUV700,AX 5 D MT 5 STR,"29,358 km",Diesel,1st owner,₹17.60L,"EMI ₹33,500/m"
2017,Hyundai,Elite,i20 ASTA 1.2 DUAL TONE,"79,690 km",Petrol,1st owner,₹6.36L,"EMI ₹12,442/m"
2016,Maruti,Swift,ZXI,"77,053 km",Petrol,1st owner,₹5.18L,"EMI ₹10,127/m"
2017,Maruti,Swift,VXI,"25,847 km",Petrol,2nd owner,₹5.45L,"EMI ₹10,655/m"
2019,Honda,Amaze,1.2L I-VTEC VX,"37,615 km",Petrol,1st owner,₹6.95L,"EMI ₹13,591/m"
2020,Ford,Ecosport,TITANIUM 1.5 SPORTS(SUNROOF) PETROL,"60,856 km",Petrol,1st owner,₹10.13L,"EMI ₹19,275/m"
2020,Tata,NEXON,XZA PLUS PETROL,"32,729 km",Petrol,1st owner,₹8.72L,"EMI ₹16,598/m"
2020,Tata,NEXON,XZ PLUS PETROL,"75,042 km",Petrol,1st owner,₹7.93L,"EMI ₹15,499/m"
2019,Hyundai,NEW,SANTRO ERA EXECUTIVE,"52,881 km",Petrol,1st owner,₹4.28L,"EMI ₹8,358/m"
2018,Maruti,Baleno,ZETA CVT PETROL 1.2,"62,129 km",Petrol,1st owner,₹6.19L,"EMI ₹12,102/m"
2017,Honda,WR-V,1.5L I-DTEC VX MT,"97,807 km",Diesel,1st owner,₹7.25L,"EMI ₹14,168/m"
2016,Hyundai,Elite,i20 SPORTZ 1.2,"89,807 km",Petrol,1st owner,₹5.42L,"EMI ₹10,596/m"
2022,Renault,Kwid,CLIMBER AMT 1.0,"25,787 km",Petrol,1st owner,₹5.25L,"EMI ₹10,264/m"
2022,Volkswagen,TAIGUN,GT PLUS 1.5 TSI DSG,"46,791 km",Petrol,1st owner,₹15.36L,"EMI ₹29,236/m"
2019,KIA,SELTOS,GTX PLUS DCT 1.4 PETROL,"73,142 km",Petrol,1st owner,₹12.17L,"EMI ₹23,164/m"
2021,Maruti,Baleno,ZETA PETROL 1.2,"46,568 km",Petrol,1st owner,₹7.31L,"EMI ₹14,291/m"
2018,Maruti,Baleno,ZETA PETROL 1.2,"60,099 km",Petrol,1st owner,₹6.30L,"EMI ₹12,323/m"
2021,MG,HECTOR,SHARP 1.5 PETROL CVT,"53,405 km",Petrol,1st owner,₹15.39L,"EMI ₹29,301/m"
2021,Maruti,Celerio,ZXI PLUS AGS,"3,760 km",Petrol,2nd owner,₹6.30L,"EMI ₹12,326/m"
2023,Maruti,Alto,K10 VXI PLUS AMT,"15,262 km",Petrol,1st owner,₹5.59L,"EMI ₹10,929/m"
2017,Maruti,IGNIS,ZETA 1.2,"52,488 km",Petrol,1st owner,₹4.78L,"EMI ₹9,345/m"
2018,Maruti,IGNIS,ALPHA 1.2,"35,090 km",Petrol,1st owner,₹5.01L,"EMI ₹9,795/m"
2015,Hyundai,Grand,i10 ASTA 1.2 KAPPA VTVT,"82,452 km",Petrol,1st owner,₹4.20L,"EMI ₹8,217/m"
2021,Nissan,MAGNITE,XL TURBO,"33,387 km",Petrol,1st owner,₹6.32L,"EMI ₹12,356/m"
2017,Renault,Kwid,1.0 RXT 02 Anniversary Edition,"73,365 km",Petrol,1st owner,₹2.67L,"EMI ₹5,220/m"
2020,Tata,Tiago,XE PETROL,"57,810 km",Petrol,1st owner,₹4.70L,"EMI ₹9,189/m"
2015,Hyundai,i20,Active 1.2 SX,"38,799 km",Petrol,1st owner,₹5.79L,"EMI ₹11,322/m"
2012,Maruti,Swift,VDI,"62,829 km",Diesel,2nd owner,₹3.42L,"EMI ₹16,099/m"
2023,KIA,SELTOS,HTK 1.5 PETROL,"4,607 km",Petrol,1st owner,₹11.86L,"EMI ₹22,574/m"
2021,Hyundai,NEW,I20 MAGNA 1.2 MT,"33,267 km",Petrol,1st owner,₹6.65L,"EMI ₹13,001/m"
2017,Tata,Tiago,XZA PETROL,"86,495 km",Petrol,2nd owner,₹4.31L,"EMI ₹8,426/m"
2018,Maruti,Swift,ZXI PLUS AMT,"49,261 km",Petrol,1st owner,₹6.34L,"EMI ₹12,404/m"
2018,Hyundai,Elite,i20 ASTA 1.2 (O),"71,312 km",Petrol,1st owner,₹6.73L,"EMI ₹13,157/m"
2021,Maruti,Dzire,ZXI,"39,678 km",Petrol,1st owner,₹7.85L,"EMI ₹15,343/m"
2023,Maruti,BREZZA,ZXI SMART HYBRID,"22,737 km",Petrol,1st owner,₹11.33L,"EMI ₹21,566/m"
2018,Hyundai,i20,Active 1.2 S,"36,860 km",Petrol,1st owner,₹6.77L,"EMI ₹13,226/m"
2016,Honda,City,1.5L I-VTEC SV CVT,"31,972 km",Petrol,1st owner,₹6.42L,"EMI ₹12,554/m"
2022,Renault,Kwid,RXL 1.0 (O),"39,385 km",Petrol,1st owner,₹4.00L,"EMI ₹7,820/m"
2020,Honda,City,1.5L I-VTEC ZX CVT,"29,835 km",Petrol,1st owner,₹11.55L,"EMI ₹21,984/m"
2012,Maruti,Ritz,VXI,"42,582 km",Petrol,1st owner,₹2.79L,"EMI ₹9,267/m"
2021,Mahindra,Thar,LX P 4WD AT CONVERTIBLE,"32,709 km",Petrol,2nd owner,₹13.19L,"EMI ₹25,106/m"
2017,Maruti,Dzire,VDI AMT,"77,742 km",Diesel,1st owner,₹6.12L,"EMI ₹11,965/m"
2018,Tata,Tiago,XZ PETROL,"63,258 km",Petrol,1st owner,₹4.70L,"EMI ₹9,189/m"
2019,Tata,Tiago,XT PETROL,"95,660 km",Petrol,1st owner,₹4.28L,"EMI ₹8,363/m"
2017,Hyundai,Elite,i20 SPORTZ 1.2,"91,444 km",Petrol,2nd owner,₹5.40L,"EMI ₹10,557/m"
2018,Datsun,Redi,Go T (O),"1,08,870 km",Petrol,2nd owner,₹2.49L,"EMI ₹5,544/m"
2016,Maruti,Swift,Dzire VXI (O),"34,781 km",Petrol,1st owner,₹4.94L,"EMI ₹9,663/m"
2021,Hyundai,Creta,SX (O) 1.4 TURBO DCT,"46,110 km",Petrol,1st owner,₹15.35L,"EMI ₹29,217/m"
2019,Maruti,Dzire,VXI AMT,"41,666 km",Petrol,1st owner,₹6.29L,"EMI ₹12,297/m"
2018,Honda,City,1.5L I-DTEC V,"76,508 km",Diesel,1st owner,₹7.91L,"EMI ₹15,460/m"
2017,Maruti,Dzire,VDI AMT,"95,453 km",Diesel,1st owner,₹5.84L,"EMI ₹11,417/m"
2021,Skoda,KUSHAQ,STYLE 1.0L TSI MT,"36,691 km",Petrol,1st owner,₹13.54L,"EMI ₹25,772/m"
2017,Maruti,Swift,VXI,"63,852 km",Petrol,1st owner,₹5.28L,"EMI ₹10,319/m"
2019,Honda,Amaze,1.2L I-VTEC S CVT,"55,918 km",Petrol,1st owner,₹6.23L,"EMI ₹12,185/m"
2022,Maruti,BREZZA,ZXI SMART HYBRID,"23,690 km",Petrol,1st owner,₹10.49L,"EMI ₹19,968/m"
2021,Hyundai,VENUE,S 1.0 TURBO IMT,"52,710 km",Petrol,1st owner,₹8.24L,"EMI ₹15,684/m"
2016,Honda,Brio,S MT,"55,340 km",Petrol,2nd owner,₹4.00L,"EMI ₹7,821/m"
2018,Ford,FREESTYLE,TREND 1.2 PETROL,"60,679 km",Petrol,1st owner,₹5.53L,"EMI ₹10,812/m"
2013,Maruti,Ritz,ZDI,"82,552 km",Diesel,1st owner,₹3.53L,"EMI ₹11,725/m"
2021,Hyundai,NEW,SANTRO ERA EXECUTIVE,"17,789 km",Petrol,1st owner,₹4.75L,"EMI ₹9,286/m"
2019,Honda,Civic,1.8L I-VTEC ZX CVT,"87,192 km",Petrol,2nd owner,₹13.93L,"EMI ₹26,514/m"
2021,Renault,Kwid,RXL,"45,901 km",Petrol,1st owner,₹3.77L,"EMI ₹7,370/m"
2017,Maruti,Alto,800 LXI,"47,179 km",Petrol,1st owner,₹2.70L,"EMI ₹5,279/m"
2018,Ford,Ecosport,TITANIUM 1.5L PETROL,"57,427 km",Petrol,2nd owner,₹7.13L,"EMI ₹13,944/m"
2018,Maruti,Swift,ZXI AMT,"76,836 km",Petrol,1st owner,₹6.22L,"EMI ₹12,160/m"
2020,MG,HECTOR,SHARP 1.5 DCT PETROL,"55,007 km",Petrol,2nd owner,₹14.87L,"EMI ₹28,299/m"
2017,Hyundai,Creta,SX PLUS 1.6 PETROL,"26,225 km",Petrol,1st owner,₹9.14L,"EMI ₹17,397/m"
2020,Maruti,Baleno,DELTA PETROL 1.2,"61,979 km",Petrol,1st owner,₹6.13L,"EMI ₹11,984/m"
2021,Tata,TIGOR,XE PETROL,"47,778 km",Petrol,1st owner,₹5.40L,"EMI ₹10,557/m"
2022,Maruti,XL6,ZETA AT,"41,145 km",Petrol,1st owner,₹11.42L,"EMI ₹21,737/m"
2015,Hyundai,Xcent,S 1.2,"35,155 km",Petrol,2nd owner,₹3.95L,"EMI ₹7,722/m"
2021,Mahindra,Thar,LX D 4WD AT CONVERTIBLE,"24,914 km",Diesel,2nd owner,₹13.32L,"EMI ₹25,353/m"
2018,Maruti,Baleno,ALPHA CVT PETROL 1.2,"43,363 km",Petrol,1st owner,₹6.66L,"EMI ₹13,023/m"
2018,Maruti,Celerio,ZXI (O),"99,649 km",Petrol,1st owner,₹4.15L,"EMI ₹8,106/m"
2017,Hyundai,Elite,i20 SPORTZ 1.2,"73,900 km",Petrol,1st owner,₹5.85L,"EMI ₹11,437/m"
2017,Honda,BR-V,1.5L I-VTEC E,"1,23,292 km",Petrol,1st owner,₹5.88L,"EMI ₹13,080/m"
2014,Honda,City,1.5L I-VTEC SV,"98,960 km",Petrol,2nd owner,₹4.62L,"EMI ₹10,277/m"
2021,Hyundai,VENUE,S 1.0 TURBO IMT,"33,023 km",Petrol,1st owner,₹8.48L,"EMI ₹16,141/m"
2022,KIA,SELTOS,GTX PLUS 1.4,"19,141 km",Petrol,1st owner,₹15.65L,"EMI ₹29,788/m"
2018,Honda,City,1.5L I-VTEC V MT,"98,990 km",Petrol,1st owner,₹7.34L,"EMI ₹14,350/m"
2022,Maruti,Dzire,VXI AMT,"52,707 km",Petrol,2nd owner,₹7.06L,"EMI ₹13,801/m"
2021,Maruti,Alto,VXI,"45,381 km",Petrol,1st owner,₹3.58L,"EMI ₹6,996/m"
2015,Maruti,Swift,VDI ABS,"90,513 km",Diesel,1st owner,₹5.01L,"EMI ₹11,144/m"
2016,Hyundai,Elite,i20 ASTA 1.2,"77,521 km",Petrol,2nd owner,₹5.56L,"EMI ₹10,870/m"
2015,Honda,City,1.5L I-DTEC V,"95,906 km",Diesel,2nd owner,₹5.04L,"EMI ₹11,211/m"
2019,MG,HECTOR,STYLE 1.5 PETROL,"37,073 km",Petrol,1st owner,₹11.79L,"EMI ₹22,441/m"
2019,KIA,SELTOS,HTX IVT 1.5 PETROL,"36,514 km",Petrol,1st owner,₹11.71L,"EMI ₹22,289/m"
2022,Skoda,KUSHAQ,STYLE 1.0L TSI AT (6 AIRBAGS),"20,096 km",Petrol,1st owner,₹14.00L,"EMI ₹26,648/m"
2018,Maruti,Celerio,X ZXI AMT,"14,350 km",Petrol,1st owner,₹4.94L,"EMI ₹9,660/m"
2017,Hyundai,Creta,SX PLUS 1.6 PETROL,"92,227 km",Petrol,1st owner,₹8.63L,"EMI ₹16,426/m"
2017,Honda,Jazz,1.2L I-VTEC SV,"59,005 km",Petrol,1st owner,₹5.12L,"EMI ₹10,010/m"
2023,Tata,NEXON,XZA PLUS PETROL,"27,320 km",Petrol,1st owner,₹10.27L,"EMI ₹19,548/m"
2019,KIA,SELTOS,GTK 1.4 PETROL,"34,598 km",Petrol,2nd owner,₹10.79L,"EMI ₹20,538/m"
2019,Hyundai,NEW,SANTRO SPORTZ AMT,"66,791 km",Petrol,2nd owner,₹4.54L,"EMI ₹8,878/m"
2016,Renault,Duster,110 PS RXZ 4X2 AMT DIESEL,"93,820 km",Diesel,1st owner,₹6.21L,"EMI ₹12,141/m"
2020,Tata,TIGOR,XZ PLUS PETROL,"49,158 km",Petrol,1st owner,₹6.41L,"EMI ₹12,532/m"
2018,Honda,WR-V,1.2L I-VTEC VX MT,"95,683 km",Petrol,1st owner,₹6.61L,"EMI ₹12,923/m"
2017,Hyundai,Grand,i10 SPORTZ 1.2 KAPPA VTVT,"40,393 km",Petrol,1st owner,₹4.80L,"EMI ₹9,384/m"
2019,Skoda,Rapid,STYLE 1.6 MPI,"42,889 km",Petrol,1st owner,₹8.78L,"EMI ₹16,712/m"
2022,Maruti,Ciaz,ALPHA 1.5 SHVS PETROL,"23,327 km",Petrol,1st owner,₹9.55L,"EMI ₹18,178/m"
2020,Mahindra,XUV500,W7,"94,607 km",Diesel,1st owner,₹12.01L,"EMI ₹22,860/m"
2021,Renault,Kwid,CLIMBER 1.0 AMT (O),"45,079 km",Petrol,1st owner,₹4.40L,"EMI ₹8,602/m"
2021,Maruti,Dzire,VXI AMT,"49,950 km",Petrol,1st owner,₹7.34L,"EMI ₹14,350/m"
2017,Hyundai,i20,Active 1.2 SX,"95,737 km",Petrol,2nd owner,₹5.15L,"EMI ₹10,068/m"
2016,Hyundai,Elite,i20 ASTA 1.4 CRDI,"1,23,588 km",Diesel,1st owner,₹5.85L,"EMI ₹13,013/m"
2020,Maruti,Celerio,VXI (O),"28,358 km",Petrol,1st owner,₹4.46L,"EMI ₹8,719/m"
2019,Skoda,Rapid,STYLE 1.6 MPI,"81,413 km",Petrol,2nd owner,₹8.10L,"EMI ₹15,418/m"
2017,Maruti,IGNIS,DELTA 1.2,"85,098 km",Petrol,1st owner,₹4.06L,"EMI ₹7,937/m"
2021,Renault,Kwid,RXT 1.0 (O),"50,141 km",Petrol,2nd owner,₹3.92L,"EMI ₹7,664/m"
2021,Tata,Tiago,XZA PLUS PETROL,"42,083 km",Petrol,1st owner,₹6.10L,"EMI ₹11,926/m"
2013,Hyundai,i10,MAGNA 1.2,"37,308 km",Petrol,2nd owner,₹3.05L,"EMI ₹8,032/m"
2018,Maruti,Ciaz,ALPHA 1.4 PETROL,"98,119 km",Petrol,1st owner,₹6.31L,"EMI ₹12,336/m"
2020,Maruti,Celerio,ZXI AMT,"47,616 km",Petrol,2nd owner,₹5.10L,"EMI ₹9,971/m"
2019,Jeep,Compass,LONGITUDE (O) 1.4 PETROL AT,"71,324 km",Petrol,2nd owner,₹13.71L,"EMI ₹26,090/m"
2018,Maruti,Swift,ZDI AMT,"94,745 km",Diesel,1st owner,₹6.39L,"EMI ₹12,493/m"
2020,Hyundai,Creta,SX (O) IVT 1.5 PETROL,"26,720 km",Petrol,1st owner,₹14.69L,"EMI ₹27,961/m"
2014,Hyundai,i10,MAGNA 1.1,"49,024 km",Petrol,1st owner,₹3.10L,"EMI ₹6,896/m"
2020,Maruti,S,PRESSO LXI (O) CNG,"80,265 km",CNG,1st owner,₹4.40L,"EMI ₹8,602/m"
2017,Hyundai,Creta,SX PLUS AT 1.6 PETROL,"52,180 km",Petrol,2nd owner,₹9.26L,"EMI ₹17,626/m"
2019,Datsun,Go,T(O),"22,849 km",Petrol,2nd owner,₹3.85L,"EMI ₹7,522/m"
2017,Honda,Jazz,1.2L I-VTEC V,"53,380 km",Petrol,2nd owner,₹5.19L,"EMI ₹10,147/m"
2021,Hyundai,NEW,SANTRO SPORTZ AMT,"60,897 km",Petrol,2nd owner,₹4.97L,"EMI ₹9,716/m"
2022,Tata,NEXON,XZA PLUS (L),"32,111 km",Petrol,1st owner,₹11.13L,"EMI ₹21,185/m"
2021,Hyundai,Creta,SX (O) 1.4 TURBO DCT,"50,195 km",Petrol,1st owner,₹15.36L,"EMI ₹29,236/m"
2019,Maruti,IGNIS,DELTA 1.2,"72,659 km",Petrol,2nd owner,₹4.28L,"EMI ₹8,367/m"
2014,Maruti,Swift,VXI,"79,520 km",Petrol,1st owner,₹4.19L,"EMI ₹9,320/m"
2014,Maruti,Swift,Dzire VXI,"85,178 km",Petrol,1st owner,₹4.46L,"EMI ₹9,921/m"
2015,Maruti,Celerio,ZXI AMT,"75,112 km",Petrol,1st owner,₹3.70L,"EMI ₹7,234/m"
2020,KIA,SELTOS,GTX PLUS DCT 1.4 PETROL,"49,257 km",Petrol,1st owner,₹14.00L,"EMI ₹26,648/m"
2021,Tata,NEXON,XZA PLUS (O) PETROL,"16,677 km",Petrol,1st owner,₹11.10L,"EMI ₹21,128/m"
2018,Hyundai,Grand,i10 ASTA 1.2 KAPPA VTVT,"35,643 km",Petrol,2nd owner,₹4.93L,"EMI ₹9,638/m"
2023,Maruti,New,Wagon-R ZXI 1.2,"35,595 km",Petrol,1st owner,₹6.03L,"EMI ₹11,789/m"
2019,Hyundai,Grand,i10 SPORTZ AT 1.2 KAPPA VTVT,"33,740 km",Petrol,2nd owner,₹5.77L,"EMI ₹11,280/m"
2014,Maruti,Wagon,R 1.0 VXI,"22,765 km",Petrol,1st owner,₹3.66L,"EMI ₹8,138/m"
2018,Nissan,Micra,Active XV,"97,246 km",Petrol,2nd owner,₹3.70L,"EMI ₹7,234/m"
2020,KIA,SELTOS,GTX PLUS DCT 1.4 PETROL,"56,311 km",Petrol,1st owner,₹13.73L,"EMI ₹26,134/m"
2015,Hyundai,Creta,SX PLUS AT 1.6 DIESEL,"96,185 km",Diesel,1st owner,₹8.59L,"EMI ₹18,677/m"
2019,Maruti,Celerio,ZXI AMT (O),"87,744 km",Petrol,1st owner,₹4.41L,"EMI ₹8,622/m"
2018,Maruti,Ciaz,ZETA 1.4 AT PETROL,"88,132 km",Petrol,1st owner,₹7.25L,"EMI ₹14,166/m"
2016,Renault,Duster,110 PS RXZ 4X2 AMT DIESEL,"1,01,085 km",Diesel,1st owner,₹6.27L,"EMI ₹13,947/m"
2016,Hyundai,i10,SPORTZ 1.1,"38,659 km",Petrol,1st owner,₹3.95L,"EMI ₹7,722/m"
2018,Hyundai,Creta,SX AT 1.6 PETROL,"44,229 km",Petrol,1st owner,₹10.89L,"EMI ₹20,728/m"
2011,Hyundai,i10,MAGNA 1.2,"58,156 km",Petrol,1st owner,₹2.60L,"EMI ₹12,239/m"
2016,Maruti,Swift,ZXI,"1,18,631 km",Petrol,1st owner,₹4.84L,"EMI ₹10,766/m"
2019,Honda,City,1.5L I-VTEC VX CVT,"41,339 km",Petrol,2nd owner,₹9.60L,"EMI ₹18,265/m"
2017,Hyundai,Creta,SX PLUS AT 1.6 PETROL,"64,706 km",Petrol,2nd owner,₹9.32L,"EMI ₹17,740/m"
2016,Maruti,Celerio,ZXI AMT,"87,315 km",Petrol,1st owner,₹3.92L,"EMI ₹7,664/m"
2017,Honda,City,1.5L I-VTEC V MT,"1,13,962 km",Petrol,1st owner,₹6.43L,"EMI ₹14,303/m"
